city,latitude,longitude,forecast_time,temperature_c,humidity_pct
Tbilisi,41.05,42.3751,2026-08-01T00:00:00+00:00,3.93,71.55
Tbilisi,42.181,41.1589,2026-08-01T01:00:00+00:00,-1.25,36.29
Tbilisi,42.1225,44.5801,2026-08-01T02:00:00+00:00,23.05,49.37
Telavi,42.1785,45.0472,2026-08-01T03:00:00+00:00,-4.74,76.41
Telavi,41.6805,41.7774,2026-08-01T04:00:00+00:00,33.29,43.56
Tbilisi,41.7599,42.7949,2026-08-01T05:00:00+00:00,8.76,38.52
Tbilisi,42.4595,43.6811,2026-08-01T06:00:00+00:00,33.92,46.5
Kutaisi,42.6588,44.0926,2026-08-01T07:00:00+00:00,29.47,60.41
Tbilisi,41.0916,42.1395,2026-08-01T08:00:00+00:00,6.58,25.59
Batumi,42.733,42.9006,2026-08-01T09:00:00+00:00,13.14,78.39
Batumi,41.7404,42.0475,2026-08-01T10:00:00+00:00,5.68,85.57
Tbilisi,42.2183,41.8557,2026-08-01T11:00:00+00:00,24.17,31.44
Telavi,41.5399,45.627,2026-08-01T12:00:00+00:00,22.53,35.37
Kutaisi,42.6857,44.88,2026-08-01T13:00:00+00:00,4.16,22.25
Kutaisi,41.8023,41.3309,2026-08-01T14:00:00+00:00,31.53,59.7
Kutaisi,41.4253,43.4962,2026-08-01T15:00:00+00:00,30.39,65.0
Batumi,41.5298,42.2331,2026-08-01T16:00:00+00:00,17.45,38.39
Telavi,42.7956,42.997,2026-08-01T17:00:00+00:00,3.77,89.83
Telavi,41.1818,41.2356,2026-08-01T18:00:00+00:00,-0.61,63.92
Telavi,42.1928,42.9238,2026-08-01T19:00:00+00:00,18.84,52.76
Kutaisi,42.9422,45.3039,2026-08-01T20:00:00+00:00,-4.54,70.45
Kutaisi,42.5372,42.7009,2026-08-01T21:00:00+00:00,6.74,31.07
Tbilisi,42.9076,45.3793,2026-08-01T22:00:00+00:00,5.54,55.04
Batumi,42.0154,41.5321,2026-08-01T23:00:00+00:00,20.01,78.92
Batumi,41.3057,44.8126,2026-08-02T00:00:00+00:00,16.58,74.5
Tbilisi,42.1979,43.443,2026-08-02T01:00:00+00:00,-0.53,45.41
Kutaisi,41.4789,42.2044,2026-08-02T02:00:00+00:00,17.69,25.51
Telavi,42.632,45.8899,2026-08-02T03:00:00+00:00,16.31,28.8
Telavi,42.8937,41.8256,2026-08-02T04:00:00+00:00,16.11,62.46
Batumi,42.8578,44.7763,2026-08-02T05:00:00+00:00,22.59,69.91
Telavi,42.9903,44.2494,2026-08-02T06:00:00+00:00,12.52,56.23
Tbilisi,41.4958,41.3201,2026-08-02T07:00:00+00:00,-4.16,58.77
Batumi,41.0144,44.5392,2026-08-02T08:00:00+00:00,-2.65,24.72
Tbilisi,42.7193,41.3543,2026-08-02T09:00:00+00:00,4.52,66.83
Batumi,42.0785,44.6168,2026-08-02T10:00:00+00:00,30.3,60.33
Batumi,42.5692,45.0375,2026-08-02T11:00:00+00:00,2.62,26.79
Telavi,41.7086,43.0555,2026-08-02T12:00:00+00:00,29.55,23.79
Tbilisi,41.1212,44.6411,2026-08-02T13:00:00+00:00,27.02,27.65
Batumi,41.3804,43.2431,2026-08-02T14:00:00+00:00,11.88,39.5
Batumi,42.749,41.3769,2026-08-02T15:00:00+00:00,27.32,79.92
Tbilisi,41.1012,45.9964,2026-08-02T16:00:00+00:00,28.44,87.83
Batumi,41.3326,43.4282,2026-08-02T17:00:00+00:00,3.55,48.07
Tbilisi,41.3293,41.0108,2026-08-02T18:00:00+00:00,10.62,84.86
Telavi,41.5705,44.483,2026-08-02T19:00:00+00:00,24.22,74.84
Telavi,41.3096,42.4835,2026-08-02T20:00:00+00:00,33.75,60.54
Tbilisi,42.496,41.2858,2026-08-02T21:00:00+00:00,18.37,55.2
Batumi,41.1138,43.5391,2026-08-02T22:00:00+00:00,29.05,24.8
Tbilisi,42.3504,42.176,2026-08-02T23:00:00+00:00,-0.2,82.32
Batumi,42.1578,41.1987,2026-08-03T00:00:00+00:00,-1.72,66.02
Kutaisi,42.8694,42.0213,2026-08-03T01:00:00+00:00,23.65,36.71
Telavi,41.2618,44.2275,2026-08-03T02:00:00+00:00,13.29,85.03
Tbilisi,41.0186,44.1058,2026-08-03T03:00:00+00:00,17.52,27.0
Batumi,42.0118,41.6623,2026-08-03T04:00:00+00:00,8.96,24.82
Batumi,41.7391,41.7887,2026-08-03T05:00:00+00:00,28.35,69.25
Tbilisi,42.3357,43.773,2026-08-03T06:00:00+00:00,32.27,27.25
Batumi,41.5289,45.4486,2026-08-03T07:00:00+00:00,24.7,30.88
Kutaisi,42.2097,44.5881,2026-08-03T08:00:00+00:00,3.14,64.4
Kutaisi,42.0108,42.2556,2026-08-03T09:00:00+00:00,31.33,23.56
Telavi,42.6587,41.2204,2026-08-03T10:00:00+00:00,8.34,29.16
Kutaisi,41.3232,43.2092,2026-08-03T11:00:00+00:00,23.23,59.26
Tbilisi,41.1505,45.4155,2026-08-03T12:00:00+00:00,31.16,58.19
Kutaisi,42.165,41.7405,2026-08-03T13:00:00+00:00,0.1,41.58
Tbilisi,42.7978,42.0504,2026-08-03T14:00:00+00:00,4.98,27.2
Telavi,42.9477,44.7474,2026-08-03T15:00:00+00:00,32.03,36.57
Batumi,42.9524,45.0539,2026-08-03T16:00:00+00:00,30.26,21.74
Kutaisi,42.5648,43.0586,2026-08-03T17:00:00+00:00,21.8,71.45
Batumi,41.5336,44.9369,2026-08-03T18:00:00+00:00,-0.68,81.05
Telavi,41.4449,45.0829,2026-08-03T19:00:00+00:00,13.41,41.36
Batumi,41.4458,44.3002,2026-08-03T20:00:00+00:00,10.94,39.5
Tbilisi,42.9338,42.3956,2026-08-03T21:00:00+00:00,20.66,47.98
Kutaisi,42.8785,41.5767,2026-08-03T22:00:00+00:00,33.82,32.5
Kutaisi,41.0765,43.9829,2026-08-03T23:00:00+00:00,8.83,75.05
Telavi,42.2124,43.5571,2026-08-04T00:00:00+00:00,10.41,60.36
Kutaisi,41.0888,43.1803,2026-08-04T01:00:00+00:00,15.8,76.46
Batumi,41.7284,41.3499,2026-08-04T02:00:00+00:00,21.57,43.11
Kutaisi,42.3268,41.6231,2026-08-04T03:00:00+00:00,31.0,55.5
Telavi,41.6524,44.486,2026-08-04T04:00:00+00:00,17.18,33.43
Telavi,42.3546,45.514,2026-08-04T05:00:00+00:00,19.62,41.07
Tbilisi,41.6077,42.0509,2026-08-04T06:00:00+00:00,26.43,62.47
Kutaisi,41.93,43.2108,2026-08-04T07:00:00+00:00,3.55,53.12
Batumi,42.3177,42.4189,2026-08-04T08:00:00+00:00,21.55,63.35
Tbilisi,42.6368,44.7557,2026-08-04T09:00:00+00:00,21.91,35.72
Batumi,41.2947,41.2311,2026-08-04T10:00:00+00:00,34.36,62.79
Tbilisi,41.9108,45.4307,2026-08-04T11:00:00+00:00,18.03,70.28
Telavi,41.9888,42.2199,2026-08-04T12:00:00+00:00,21.24,20.39
Tbilisi,42.5568,42.0942,2026-08-04T13:00:00+00:00,27.16,68.71
Telavi,41.1004,42.246,2026-08-04T14:00:00+00:00,28.93,51.95
Telavi,42.3352,45.9395,2026-08-04T15:00:00+00:00,18.82,86.5
Telavi,42.2253,44.5964,2026-08-04T16:00:00+00:00,15.19,78.14
Telavi,42.7944,44.7183,2026-08-04T17:00:00+00:00,13.99,38.14
Batumi,42.6797,42.3866,2026-08-04T18:00:00+00:00,26.11,53.92
Batumi,41.5492,41.3874,2026-08-04T19:00:00+00:00,6.43,39.02
Kutaisi,42.7861,41.4029,2026-08-04T20:00:00+00:00,1.03,46.81
Batumi,42.4128,41.3211,2026-08-04T21:00:00+00:00,11.3,57.98
Telavi,41.1245,45.1645,2026-08-04T22:00:00+00:00,10.58,73.89
Tbilisi,42.7135,44.828,2026-08-04T23:00:00+00:00,10.22,20.41
Kutaisi,41.5972,42.9499,2026-08-05T00:00:00+00:00,30.67,78.5
Batumi,41.9765,42.3647,2026-08-05T01:00:00+00:00,14.43,47.22
Telavi,42.4484,45.2025,2026-08-05T02:00:00+00:00,31.78,88.65
Tbilisi,42.8139,43.9595,2026-08-05T03:00:00+00:00,21.52,25.88
Telavi,41.2714,43.3085,2026-08-05T04:00:00+00:00,-2.99,46.54
Batumi,41.9094,42.6875,2026-08-05T05:00:00+00:00,30.19,39.48
Telavi,41.5045,41.4095,2026-08-05T06:00:00+00:00,-4.22,57.76
Kutaisi,41.4484,41.3431,2026-08-05T07:00:00+00:00,33.29,22.82
Tbilisi,42.8992,41.9968,2026-08-05T08:00:00+00:00,-4.18,30.67
Batumi,41.9471,41.5719,2026-08-05T09:00:00+00:00,32.91,52.55
Kutaisi,42.5338,41.8389,2026-08-05T10:00:00+00:00,19.29,72.35
Tbilisi,42.5556,41.8188,2026-08-05T11:00:00+00:00,7.44,60.51
Kutaisi,42.1516,45.5401,2026-08-05T12:00:00+00:00,10.01,85.9
Batumi,41.152,44.4531,2026-08-05T13:00:00+00:00,20.09,27.13
Kutaisi,42.7006,44.0021,2026-08-05T14:00:00+00:00,-0.16,88.87
Tbilisi,41.6944,43.1419,2026-08-05T15:00:00+00:00,9.82,55.42
Kutaisi,41.0253,43.1003,2026-08-05T16:00:00+00:00,14.61,50.35
Kutaisi,42.2712,45.1435,2026-08-05T17:00:00+00:00,23.29,50.48
Kutaisi,42.2318,45.5981,2026-08-05T18:00:00+00:00,25.99,52.54
Kutaisi,41.6446,42.2275,2026-08-05T19:00:00+00:00,32.38,39.52
Telavi,41.4877,43.3235,2026-08-05T20:00:00+00:00,19.41,46.53
Tbilisi,41.9886,42.6251,2026-08-05T21:00:00+00:00,14.5,44.84
Kutaisi,41.6807,45.4016,2026-08-05T22:00:00+00:00,23.05,39.34
Tbilisi,42.0333,41.9553,2026-08-05T23:00:00+00:00,4.65,48.45
Batumi,42.3812,44.2295,2026-08-06T00:00:00+00:00,14.63,75.51
Tbilisi,41.5885,43.022,2026-08-06T01:00:00+00:00,4.73,66.48
Kutaisi,41.9465,43.6546,2026-08-06T02:00:00+00:00,12.02,72.22
Kutaisi,41.7036,43.2687,2026-08-06T03:00:00+00:00,7.26,36.14
Batumi,41.6311,44.7144,2026-08-06T04:00:00+00:00,33.04,68.31
Batumi,41.4328,43.421,2026-08-06T05:00:00+00:00,23.98,88.36
Kutaisi,42.961,45.1631,2026-08-06T06:00:00+00:00,6.85,45.26
Kutaisi,41.0283,43.6707,2026-08-06T07:00:00+00:00,5.97,88.2
Kutaisi,42.3948,41.6314,2026-08-06T08:00:00+00:00,29.74,54.36
Tbilisi,42.1481,43.347,2026-08-06T09:00:00+00:00,12.62,32.91
